,text
3072,-0.6522
3076,0.5867
3077,0.9838
3083,0.9019
3087,-0.4404
3088,-0.886
3089,-0.5267
3090,-0.0451
3094,-0.2732
3100,0.9114
3101,-0.128
3103,-0.5202
3105,-0.8722
3107,-0.819
3116,0.4137
3117,0.7797
3118,-0.9663
3119,-0.1154
3121,-0.1901
3124,0.7549
3129,0.8573
3131,0.8673
3133,0.0
3134,0.8748
3142,0.7579
3155,-0.9074
3157,-0.659
3158,-0.925
3159,0.4742
3160,-0.7839
3169,0.0772
3170,-0.2263
3187,0.0
3188,0.9368
3192,-0.9038
3194,-0.7096
3197,0.9301
3199,0.6814
3209,-0.743
3213,0.9336
3217,-0.0572
3219,-0.0258
3220,0.6486
3222,0.8126
3223,-0.3412
3225,0.4404
3230,0.25
3231,0.0
3232,-0.3182
3240,0.7236
3241,0.9599
3242,0.6597
3243,-0.6631
3244,-0.2833
3247,0.9873
3250,0.7914
3251,0.656
3257,-0.6249
3258,0.0
3262,-0.7261
3264,-0.5495
3265,-0.1465
3267,0.8702
3271,-0.8005
3273,-0.2003
3275,-0.0516
3282,0.2263
3283,0.9266
3287,0.3027
3292,-0.7351
3296,-0.5302
3297,0.8271
3302,-0.7158
3305,0.9592
3307,0.0
3309,0.0
3313,-0.4404
3314,0.9769
3317,0.2263
3319,0.0
3320,0.9572
3325,0.6395
3328,0.9984
3331,0.8553
3332,0.9792
3337,-0.4714
3340,0.0
3342,-0.5171
3345,0.3612
3346,-0.7184
3354,0.8204
3356,-0.6249
3357,0.7935
3364,0.0
3366,0.5239
3375,-0.5499
3381,0.0
3385,-0.9165
3388,0.0
3389,-0.933
3401,0.9766
3403,-0.5283
3404,0.7149
3405,-0.5702
3407,0.8968
3409,0.4215
3412,0.4019
3413,0.0
3416,0.9907
3420,-0.866
3421,0.8555
3422,0.0
3425,0.4329
3426,0.7814
3428,0.5976
3430,0.291
3432,0.4939
3434,0.9192
3435,0.3612
3441,-0.5574
3442,0.7177
3447,-0.2458
3451,0.0
3454,-0.903
3455,0.9957
3457,0.8225
3463,0.3182
3464,-0.4404
3465,0.0
3466,-0.2732
3467,0.0
3468,0.5362
3469,-0.2755
3470,-0.1027
3471,-0.1759
3473,0.8658
3475,0.8716
3476,0.9857
3480,0.6956
3482,0.0
3483,-0.0258
3485,0.9196
3486,-0.7096
3492,-0.9766
3494,0.8885
3499,0.1926
3500,0.9553
3505,-0.2312
3506,0.9447
3516,0.8688
3521,0.9676
3522,0.0
3523,0.7615
3525,0.6705
3534,0.7964
3536,0.9872
3546,0.3919
3547,0.5719
3548,0.3148
3549,0.1406
3551,-0.533
3553,-0.3506
3561,-0.9985
3562,-0.9635
3568,0.9171
3570,0.7876
3577,-0.1779
3579,-0.5015
3583,0.2354
3585,-0.6705
3586,-0.765
3589,-0.9772
3592,0.0436
3599,-0.0923
3601,-0.7783
3602,0.5547
3605,0.8805
3615,-0.7474
3616,-0.5574
3618,0.0
3620,-0.9493
3621,-0.1818
3626,0.0772
3628,0.5994
3632,0.9981
3639,-0.8248
3641,0.9369
3648,-0.1877
3649,0.7304
3654,0.7901
3656,-0.7325
3657,0.0
3658,0.9894
3668,0.9865
3673,0.9332
3675,0.7684
3676,0.9468
3678,-0.4939
3681,0.5868
3684,0.1889
3685,0.3612
3686,0.9582
3688,-0.7096
3689,0.9223
3693,0.5763
3699,0.4404
3701,-0.3076
3705,0.0
3708,0.4019
3709,0.5484
3712,0.9963
3713,-0.8455
3715,0.3612
3716,0.3818
3718,0.3076
3719,-0.8814
3722,0.3445
3723,-0.3507
3724,0.0
3726,0.507
3728,0.0
3729,0.8674
3736,0.9712
3748,0.9982
3749,0.7506
3751,0.4678
3752,0.5502
3754,0.2396
3756,0.9874
3771,0.0
3777,0.9456
3783,0.8289
3784,0.621
3785,0.8426
3786,0.0
3789,-0.8076
3790,0.9407
3797,0.7269
3799,-0.7815
3810,-0.1027
3811,0.9846
3815,0.8406
3823,0.09
3826,0.0
3834,-0.7269
3835,0.0
3837,0.8573
3839,-0.9681
3846,0.995
3850,0.0
3857,0.5098
3858,0.0
3862,-0.0448
3868,-0.2263
3873,0.9001
3878,0.8243
3885,0.7003
3887,0.0
3889,0.7327
3891,0.918
3893,0.5267
3895,0.6864
3902,0.8805
3904,0.9617
3906,-0.6258
3907,-0.6007
3908,0.0
3909,-0.9166
3923,0.3987
3925,0.9704
3929,0.9866
3931,0.9537
3932,0.0
3933,0.7627
3943,0.1779
3944,0.0
3952,0.594
3955,0.7964
3957,0.8481
3960,-0.9197
3963,0.3744
3964,-0.7096
3965,0.6369
3966,0.9956
3969,0.6381
3975,-0.7968
3977,-0.778
3978,-0.9988
3979,0.5499
3982,-0.7757
3985,-0.7131
3988,0.6808
3996,0.9187
3997,0.4601
3998,0.7458
4002,0.9396
4005,-0.5859
4006,-0.938
4007,0.0
4017,-0.5106
4021,-0.2359
4027,0.3313
4029,-0.1027
4030,-0.1073
4035,0.9833
4045,0.624
4047,-0.1027
4048,0.2023
4052,0.7331
4061,0.9091
4063,0.0258
4064,0.8496
4068,0.4404
4069,0.4753
4075,0.7691
4078,0.5935
4082,-0.0772
4083,0.9943
4088,0.7677
4091,0.9566
4100,0.9932
4107,0.8519
4109,0.0
4114,-0.2144
4117,0.9345
4128,0.9463
4131,-0.5167
4133,0.9115
4135,0.9955
4142,0.128
4143,0.5803
4144,0.0
4152,0.9771
4153,0.9022
4158,0.9108
4161,-0.5972
4168,0.7096
4170,0.0
4173,0.3094
4175,0.0
4177,0.8793
4183,0.1719
4184,0.5081
4190,0.8426
4192,0.3798
4195,-0.9149
4198,-0.2484
4200,0.3998
4201,0.7906
4206,0.0
4213,0.7893
4218,0.0
4222,0.7088
4223,0.8357
4225,-0.7096
4227,0.0
4228,0.915
4231,-0.296
4233,-0.34
4235,-0.296
4237,-0.296
4238,0.4215
4239,0.8815
4240,0.9683
4241,0.9416
4242,-0.8192
4244,-0.7946
4245,0.9865
4249,0.7757
4254,0.5412
4255,0.6369
4256,0.981
4257,-0.2975
4264,0.8932
4266,-0.8906
4271,0.0
4276,0.0
4279,-0.1531
4280,0.4404
4281,0.9578
4287,-0.8088
4289,0.8895
4292,-0.5574
4300,0.8171
4303,0.3818
4304,0.9177
4314,0.9987
4319,0.34
4320,0.5819
4324,0.9988
4326,-0.0258
4330,-0.2732
4331,0.5859
4337,0.9984
4343,-0.8525
4350,-0.5809
4355,0.9552
4369,0.4404
4372,0.34
4385,0.8497
4386,0.8245
4387,-0.755
4390,-0.4215
4400,0.5859
4401,0.9844
4403,-0.6165
4404,0.8573
4407,-0.4391
4412,-0.9027
4414,0.9607
4415,0.7382
4417,0.9817
4419,0.0
4421,-0.7526
4422,0.9548
4424,0.0
4426,0.0
4427,0.0
4441,0.8703
4449,0.9691
4450,-0.4215
4467,0.8356
4469,0.9908
4474,-0.1759
4482,0.6972
4489,0.4902
4490,-0.34
4491,0.25
4492,0.5106
4493,-0.5023
4499,0.2732
4502,0.3071
4507,-0.9332
4518,0.0
4519,-0.5171
4524,0.0
4527,0.8878
4530,0.9953
4539,0.2927
4541,0.4958
4547,0.1583
4552,0.0
4556,-0.7096
4557,0.9366
4561,-0.3406
4568,0.6553
4571,0.9377
4576,0.0
4586,0.168
4598,-0.5972
4599,0.9402
4607,0.8591
4608,0.7346
4614,-0.6065
4615,0.0
4618,0.0
4619,-0.1955
4628,0.9432
4645,-0.296
4647,0.8743
4649,0.3895
4651,0.0
4652,-0.4743
4655,-0.9742
4657,0.6461
4660,0.9985
4671,-0.9353
4675,-0.908
4677,0.0
4680,-0.7096
4681,0.3612
4685,-0.4874
4686,0.8062
4687,0.3612
4693,0.6124
4698,-0.4588
4699,0.8876
4711,0.9484
4712,0.8505
4715,-0.1779
4716,0.6114
4717,0.5647
4726,0.0
4728,0.7804
4729,0.9092
4731,0.0752
4736,0.9318
4752,-0.296
4755,-0.9137
4763,0.5267
4767,0.8399
4779,0.8796
4780,-0.354
4790,0.5525
4791,0.8994
4792,0.5423
4794,0.9308
4800,0.4098
4806,0.0
4808,0.5992
4811,0.6696
4814,-0.9874
4823,0.0
4826,0.9693
4835,-0.5252
4840,0.8399
4843,0.8611
4848,0.0
4849,0.8039
4852,0.9739
4856,0.0
4859,0.7568
4860,0.8885
4861,-0.1779
4864,0.0
4867,0.0
4869,0.2263
4870,0.2023
4873,-0.8723
4874,-0.8098
4877,0.0
4883,0.9982
4890,0.8896
4891,0.9878
4892,0.7501
4903,0.8812
4904,0.879
4906,0.1206
4910,0.9171
4917,0.8481
4920,0.7622
4924,0.9095
4925,0.6808
4926,-0.7691
4934,-0.1027
4938,-0.2263
4948,0.6298
4950,0.9865
4953,0.978
4961,0.049
4964,0.0
4966,0.7096
4968,-0.5129
4969,0.0
4972,-0.3956
4976,0.1471
4979,0.9168
4981,0.7345
4987,0.829
4992,0.0
5000,0.9016
5001,0.9499
5003,0.9663
5006,0.5574
5008,0.9672
5011,-0.6167
5012,0.2117
5017,0.8253
5026,-0.3607
5032,0.25
5036,-0.6174
5037,0.6976
5039,0.9313
5042,-0.296
5044,0.7783
5046,0.8206
5049,-0.3736
5055,0.7059
5058,0.9042
5059,0.9253
5061,0.0
5062,0.908
5063,0.5007
5064,0.765
5065,0.9459
5068,0.9953
5070,-0.3595
5072,0.7003
5073,-0.6298
5074,0.98
5077,0.8074
5079,-0.9741
5081,0.9737
5082,0.8368
5086,-0.8897
5093,0.8625
5095,-0.765
5098,-0.3692
5102,0.0
5104,-0.0258
5105,0.9713
5109,0.6891
5114,0.9734
5117,-0.0516
5119,0.1206
5121,0.9176
5125,0.8074
5129,-0.8798
5133,0.2547
5136,0.6908
5139,0.5994
5152,-0.7906
5161,0.9903
5164,0.858
5165,0.5803
5172,0.9655
5175,0.7506
5178,0.7691
5180,0.8462
5182,0.3794
5183,-0.6523
5184,0.9724
5193,-0.1179
5196,0.5267
5197,0.9014
5198,0.1531
5202,0.949
5207,-0.9725
5210,0.0
5215,0.9564
5217,0.4019
5220,0.3167
5223,0.066
5224,0.0
5237,0.8458
5238,0.0
5244,-0.7183
5248,0.0201
5249,-0.5752
5253,0.9255
5254,0.0
5255,0.0
5265,0.0
5271,0.2003
5274,0.9371
5275,0.875
5281,0.8246
5284,-0.0354
5285,0.9223
5288,0.2698
5291,-0.3034
5294,0.8759
5295,0.6946
5298,0.7622
5299,-0.4871
5302,0.9436
5306,0.68
5309,-0.4329
5316,0.9186
5319,0.0
5326,0.6597
5330,0.4497
5333,-0.9259
5342,0.5267
5347,0.0
5349,0.7622
5355,0.1779
5361,0.9932
5363,-0.32
5364,0.3738
5366,0.644
5367,0.1901
5369,-0.1027
5370,0.4215
5372,0.9217
5378,0.8271
5379,0.7003
5380,0.959
5383,0.0
5384,-0.7436
5385,0.0
5386,-0.4019
5387,0.5859
5391,0.0
5403,0.9912
5407,0.6322
5408,0.0
5409,-0.2263
5422,0.8611
5424,0.875
5428,0.9239
5429,-0.8445
5433,-0.6188
5438,0.0
5448,0.296
5451,0.8674
5472,0.8952
5484,0.9793
5500,-0.4019
5502,0.2617
5512,0.9834
5517,0.0
5522,0.9756
5528,-0.979
5529,0.3182
5538,0.802
5548,0.6966
5549,0.5267
5556,0.8752
5559,0.0
5560,0.7965
5563,0.9813
5564,0.802
5575,0.8625
5576,-0.7738
5577,0.128
5589,-0.7258
5590,-0.5924
5593,0.743
5599,0.7959
5601,0.9813
5602,0.9988
5605,0.2771
5606,-0.323
5607,0.9305
5608,0.9109
5621,0.8979
5626,0.2023
5630,-0.0772
5634,0.0
5636,0.0
5637,0.9688
5641,0.8481
5644,0.9549
5646,0.9847
5650,0.9885
5654,0.5003
5656,0.2584
5660,0.0
5663,-0.1263
5666,-0.7851
5668,-0.9519
5670,0.5719
5673,-0.1901
5677,0.9772
5687,0.9791
5689,0.409
5702,-0.168
5711,0.9644
5712,-0.6996
5713,0.9081
5715,-0.6288
5717,0.9886
5719,0.5499
5733,-0.6486
5734,-0.6322
5737,0.9295
5745,0.0
5749,0.6904
5751,0.8271
5757,0.0
5758,0.3612
5759,-0.0739
5761,0.0
5767,-0.9549
5773,0.5499
5774,0.951
5776,0.8136
5779,-0.4019
5791,0.5719
5794,0.0
5797,-0.1027
5799,-0.2579
5806,0.927
5810,-0.4019
5817,0.9776
5828,0.1899
5830,0.8874
5847,0.8973
5850,-0.2656
5851,0.0
5859,-0.743
5860,-0.8653
5862,-0.6616
5863,0.0
5871,0.4738
5872,0.5833
5877,-0.9529
5893,0.8547
5897,0.0
5906,0.8067
5909,0.0
5911,0.168
5917,-0.9647
5920,0.2023
5922,0.8053
5925,0.5719
5929,-0.0772
5930,0.7717
5931,0.0
5932,-0.0516
5943,0.6486
5946,0.9145
5947,0.9686
5956,-0.6488
5958,0.7132
5966,0.2023
5970,0.9651
5972,0.7615
5974,0.598
5976,0.8913
5977,0.9486
5979,0.9497
5989,0.5434
5991,0.2023
5992,-0.636
5995,-0.5517
5996,-0.2924
5998,-0.2901
6001,0.9022
6006,0.3182
6008,0.7089
6013,-0.887
6017,0.0
6025,0.7964
6026,-0.5106
6031,-0.846
6033,0.8847
6035,0.7964
6044,0.2617
6045,0.5267
6046,0.9454
6047,0.6868
6048,0.3818
6049,0.9139
6053,0.7998
6054,0.1002
6055,-0.4091
6057,0.9874
6059,0.0
6060,0.4588
6070,0.2406
6077,0.6908
6080,0.9254
6083,-0.3612
6084,0.5023
6086,0.9236
6095,0.7641
6097,-0.5905
6098,0.5423
6119,0.8591
6127,0.755
6129,-0.296
6148,0.956
6154,0.9914
6163,0.9644
6175,0.0516
6178,0.4404
6180,-0.966
6183,0.2618
6185,0.0
6186,0.7177
6187,0.5007
6196,0.25
6198,0.901
6201,0.9308
6207,0.0
6209,0.1263
6222,0.0
6225,-0.5116
6233,-0.1779
6234,0.8945
6235,0.9498
6238,-0.3544
6241,0.7178
6244,0.0
6245,-0.8133
6246,0.6369
6256,0.8024
6258,0.9271
6265,0.9894
6266,0.9389
6269,0.9136
6270,0.9241
6272,0.0
6276,-0.7184
6278,0.2716
6279,0.9904
6291,0.9991
6295,-0.6754
6310,0.0
6311,0.5859
6312,0.128
6315,-0.0772
6319,0.9965
6336,-0.4048
6340,0.6932
6343,0.8748
6349,0.0
6351,0.4588
6357,0.9879
6366,0.9862
6368,0.0
6369,-0.5214
6372,-0.2177
6374,0.8221
6383,-0.1027
6389,-0.5151
6391,-0.1027
6392,0.8765
6394,0.3751
6402,0.0
6409,-0.8152
6414,0.9706
6416,0.0
6417,-0.3326
6419,-0.296
6420,0.9984
6425,-0.1139
6431,0.4404
6434,0.7372
6436,0.9836
6437,-0.9087
6442,0.6908
6444,0.9643
6445,0.8553
6448,0.0
6455,0.8555
6459,-0.3771
6463,0.8177
6466,0.8708
6468,0.7236
6469,0.4019
6470,-0.7217
6479,0.4939
6481,0.4588
6484,-0.7506
6485,0.6738
6492,-0.4039
6494,0.9856
6495,0.431
6501,0.9157
6502,0.9714
6508,0.25
6509,0.4137
6517,0.0
6518,0.4318
6520,0.8657
6526,-0.3818
6530,0.5139
6537,0.7255
6539,-0.4798
6544,0.3182
6545,0.8755
6546,0.3448
6548,0.9399
6551,0.9696
6555,-0.8774
6556,-0.7707
6557,0.0
6560,0.0
6562,0.796
6565,0.34
6569,-0.9306
6576,0.7735
6580,-0.2359
6589,0.3818
6603,0.8525
6614,0.7223
6615,0.6249
6621,0.8779
6623,-0.351
6626,-0.941
6629,0.2263
6630,0.8417
6631,0.2598
6633,0.9932
6634,0.0
6639,0.9935
6643,-0.264
6644,0.7246
6646,-0.6966
6647,0.9796
6648,0.5423
6651,0.2263
6657,0.7089
6658,-0.6222
6664,-0.9775
6665,-0.8074
6674,0.8689
6678,-0.7365
6689,-0.2732
6690,0.8625
6691,-0.1288
6698,-0.34
6699,-0.296
6705,0.9846
6709,0.8053
6712,0.9316
6717,0.9526
6718,0.9844
6719,0.9425
6720,0.9847
6724,0.7506
6725,0.8271
6730,0.5792
6737,0.9024
