Date,BPI
7/17/2017,2244.265
7/18/2017,2327.8975
7/19/2017,2294.405
7/20/2017,2877.3863
7/21/2017,2694.2913
7/22/2017,2838.81
7/23/2017,2762.6263
7/24/2017,2779.0438
7/25/2017,2591.2163
7/26/2017,2550.18
7/27/2017,2697.4725
7/28/2017,2805.1788
7/29/2017,2720.08
7/30/2017,2746.3263
7/31/2017,2873.8325
8/1/2017,2735.5875
8/2/2017,2723.58
8/3/2017,2814.3613
8/4/2017,2883.6813
8/5/2017,3301.7588
8/6/2017,3255.0025
8/7/2017,3431.9688
8/8/2017,3453.1625
8/9/2017,3377.5438
8/10/2017,3445.28
8/11/2017,3679.6075
8/12/2017,3917.6488
8/13/2017,4111.1963
8/14/2017,4382.7413
8/15/2017,4204.43
8/16/2017,4425.2963
8/17/2017,4316.34
8/18/2017,4159.4575
8/19/2017,4206.1313
8/20/2017,4111.22
8/21/2017,4054.9425
8/22/2017,4137.6725
8/23/2017,4191.2175
8/24/2017,4362.475
8/25/2017,4408.3238
8/26/2017,4387.4613
8/27/2017,4394.515
8/28/2017,4439.6588
8/29/2017,4648.1338
8/30/2017,4630.7275
8/31/2017,4764.8675
9/1/2017,4950.7238
9/2/2017,4643.975
9/3/2017,4631.695
9/4/2017,4319.7213
9/5/2017,4422.1213
9/6/2017,4626.72
9/7/2017,4638.0975
9/8/2017,4317.5375
9/9/2017,4291.88
9/10/2017,4191.175
9/11/2017,4188.845
9/12/2017,4148.2675
9/13/2017,3874.2588
9/14/2017,3226.4125
9/15/2017,3686.9
9/16/2017,3678.7375
9/17/2017,3672.5663
9/18/2017,4067.0775
9/19/2017,3896.9988
9/20/2017,3858.0888
9/21/2017,3612.6813
9/22/2017,3603.3088
9/23/2017,3777.2938
9/24/2017,3662.12
9/25/2017,3927.4988
9/26/2017,3895.5125
9/27/2017,4208.5613
9/28/2017,4185.2925
9/29/2017,4164.1038
9/30/2017,4353.0475
10/1/2017,4394.6388
10/2/2017,4404.0975
10/3/2017,4320.09
10/4/2017,4225.9238
10/5/2017,4322.755
10/6/2017,4370.245
10/7/2017,4437.0338
10/8/2017,4596.9625
10/9/2017,4772.975
10/10/2017,4754.6988
10/11/2017,4830.7663
10/12/2017,5439.1338
10/13/2017,5640.1275
10/14/2017,5809.6938
10/15/2017,5697.3917
10/16/2017,5754.2213
10/17/2017,5595.235
10/18/2017,5572.1988
10/19/2017,5699.5838
10/20/2017,5984.0863
10/21/2017,6013.2288
10/22/2017,5984.9563
10/23/2017,5895.2988
10/24/2017,5518.85
10/25/2017,5733.9038
10/26/2017,5888.145
10/27/2017,5767.68
10/28/2017,5732.825
10/29/2017,6140.5313
